Taxon	LFC_LR	qval_LR	LFC_W	qval_W	LFC_WR	qval_WR
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__RF39;f__UBA660;g__UBA6985	0.0926946081908869	1.0	-2.699759989736505	1.4583907545764171e-08	-0.7201669319633694	1.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R	-0.2551251386341632	1.0	-2.620797993504673	2.786620050844364e-07	-1.6033842872296344	1.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Oscillospiraceae_88309;g__	0.8742235957692253	1.0	-0.8440936687071323	1.0	1.8180461735619076	0.0146345622515048
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola_A_858004	-0.7051432891437549	3.18864544713e-36	4.088182422456956	2.464278746019799e-19	1.6586824248086458	0.283863181913812
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Ruminococcaceae;g__UBA946	-1.0773579659567765	1.0	-1.842018078282944	0.5342538252748428	-2.573863296843062	0.00019179635147786392
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__TANB77;f__CAG-508;g__UMGS1994	2.3297168581029477	0.037317211616859	-0.9220674583549228	1.0	-1.3719011017690397	1.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C_58660	0.543313080536789	1.0	-2.4406639039121845	3.739388547135972e-09	-2.430658143773703	3.592075318078939e-09
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Christensenellales;f__UBA1242;g__UBA11490	1.004797773630414	1.0	-1.4524711280174591	0.2684893173927107	-1.442465367878976	0.2098909004362129
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Porcincola	-0.4144121084738895	1.0	0.6438262718367765	1.0	-0.3916861345256971	1.0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus	-1.2673276947696137	1.0	2.045841361378564	1.0	-0.96346783065965	1.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F	-0.9647013523191688	1.0	-2.3249795910633253	0.0077507979391729	-0.1537843228709692	1.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Sporofaciens	0.8086045184383495	1.0	1.057752659665399	1.0	3.8833827462241945	1.5916262181875558e-39
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_AP	-0.7051432891437546	3.18864544713e-36	-0.0065444217356716	1.0	3.7198806001125897	2.5150065121187453e-08
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Ruminococcus_B	0.483834964607595	1.0	-1.5097907305394125	0.6304396000502055	-1.5727600595103572	0.2017670200305904
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Anaerotignaceae;g__Coprocola	-0.0694725145119529	1.0	-1.1106101196536196	1.0	-2.6641001778533653	3.0792156310933307e-19
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Ventrisoma	1.1803509076833187	1.0	-0.3104782916511802	1.0	-1.063663138936242	1.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Ruminococcaceae;__	2.7057769507539864	1.6442422069056082e-14	-0.3364265879375793	1.0	0.9554503002412568	1.0
d__Bacteria;p__Firmicutes_D;c__Bacilli;o__RF39;f__UBA660;__	-0.8381832044764885	1.0	-2.4377309010513684	0.0015713960088255	-2.427725140912886	0.0014598228611504
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;__	-0.7051432891437551	3.18864544713e-36	1.9109738578437607	0.3094221318446361	3.6479575822002017	8.406786675529097e-42
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum	-0.7051432891437545	3.18864544713e-36	1.517758079672311	1.0	2.906485968876581	1.20946929108221e-116
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium	-2.29889261415102	0.0203134905842049	-0.9234236615220044	1.0	-1.8169972804018888	0.224230040721855
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Paralachnospira	0.4308463956167645	1.0	-1.8893782254630624	0.0376740170287495	0.1675974162027537	1.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Ruminococcaceae;g__Phocea	1.89267872601892	0.0302741888627344	-0.3062813308354683	1.0	0.1453019226399168	1.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella	-0.7051432891437549	3.18864544713e-36	3.6017890423846497	1.0734534253482616e-39	2.30856579926133	0.0006945740707065874
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__UBA3402	-0.7051432891437546	3.18864544713e-36	-0.0065444217356716	1.0	2.6443870127431404	0.0016823646657258
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J	0.7392077704168123	1.0	-1.0608546462727513	1.0	-2.0805431534817647	0.0018379868464527
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__MD308	1.0068016197414758	1.0	0.0608180186816356	1.0	-0.377103966312617	1.0
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Anaerotignaceae;__	-1.4400587651711496	0.1612345702728826	0.2563567193966855	1.0	1.5876596510054704	0.0138790269939968
